Row Labels,Sum of Total Exports Value ($US),,,
2008,14646936454,,,
2009,12632977614,,,
2010,16447892012,,,
2011,21877882372,,,
2012,23587531886,,,
2013,24830303184,,,
2014,22969855310,,,
2015,21697140146,,,
2016,21009300342,,,
2017,21969512250,,,
2018,23171688442,,,
2019,23665148214,,,
2020,20584092856,,,
2021 through July,14839883188,,,
Missouri,4.84E+11,,,
2002,13573496394,,,
2003,14476629250,,,
2004,18042661350,,,
2005,21027558232,,,
2006,25562729536,,,
2007,26967176308,,,
2008,25704648830,,,
2009,19044459234,,,
2010,25849112666,,,
2011,28322185310,,,
2012,27806483344,,,
2013,25916449474,,,
2014,28379288422,,,
2015,27293266828,,,
2016,27870155786,,,
2017,28578908430,,,
2018,29024808500,,,
2019,26899871662,,,
2020,25577924528,,,
2021 through July,18474516810,,,
Montana,48837612250,,,
2002,772573982,,,
2003,725756024,,,
2004,1132970556,,,
2005,1430039226,,,
2006,1800779938,,,
2007,2267344008,,,
2008,2789201812,,,
2009,2106624790,,,
2010,2786915030,,,
2011,3183611868,,,
2012,3151972682,,,
2013,3011592516,,,
2014,3089817364,,,
2015,2808184628,,,
2016,2720156554,,,
2017,3232052366,,,
2018,3331202254,,,
2019,3394456522,,,
2020,2873482164,,,
2021 through July,2228877966,,,
Nebraska,2.24E+11,,,
2002,5021140632,,,
2003,5425762832,,,
2004,4659357696,,,
2005,6006761974,,,
2006,7266495960,,,
2007,8532283312,,,
2008,10824042820,,,
2009,9745849798,,,
2010,11641917436,,,
2011,15175159846,,,
2012,14909907976,,,
2013,14785977474,,,
2014,15779369010,,,
2015,13327332850,,,
2016,12762797302,,,
2017,14419554268,,,
2018,15894324874,,,
2019,14921598416,,,
2020,13961564934,,,
2021 through July,9207218438,,,
Nevada,2.82E+11,,,
2002,2357693804,,,
2003,4053610300,,,
2004,5821319328,,,
2005,7882011896,,,
2006,10988085204,,,
2007,11427667808,,,
2008,12242175850,,,
2009,11344370192,,,
2010,11825138540,,,
2011,15979171204,,,
2012,20522478460,,,
2013,17402152588,,,
2014,15383495178,,,
2015,17333030860,,,
2016,19531328136,,,
2017,24324609746,,,
2018,22275683746,,,
2019,18097564616,,,
2020,20636994966,,,
2021 through July,12946615394,,,
New Hampshire,1.49E+11,,,
2002,3728650904,,,
2003,3866550268,,,
2004,4586716154,,,
2005,5114992022,,,
2006,5634109528,,,
2007,5828279670,,,
2008,7504953206,,,
2009,6121431988,,,
2010,8736322280,,,
2011,8613104100,,,
2012,6975293860,,,
2013,7022095674,,,
2014,8466342434,,,
2015,8002643356,,,
2016,8286789226,,,
2017,10295519928,,,
2018,10611517970,,,
2019,11654864804,,,
2020,10914639882,,,
2021 through July,7243513174,,,
New Jersey,1.22E+12,,,
2002,34004154772,,,
2003,33634350702,,,
2004,38360691654,,,
2005,42214369694,,,
2006,54461154570,,,
2007,61672937692,,,
2008,71286202160,,,
2009,54488492862,,,
